Year,Federal,FedInf,Provincial,ProvInf
1981,7042,17345.8544,2479,6106.2728
1982,5995,13462.372,3102,6965.8512
1983,6094,13105.7564,3857,8294.8642
1984,7390,15297.3,4334,8971.38
1985,7074,14092.8228,4459,8883.2198
1986,5741,10939.4755,4797,9140.6835
1987,6263,11453.7744,4090,7479.792
1988,5357,9417.606,4533,7969.014
1989,4579,7647.8458,4465,7457.443
1990,4293,6820.7184,4866,7731.1008
1991,6604,10076.3832,5307,8097.4206
1992,4587,6883.2522,6541,9815.4246
1993,3586,5281.4608,5553,8178.4584
1994,3439,5070.8055,4963,7317.9435
1995,3270,4722.861,4264,6158.4952
1996,3252,4607.7588,4242,6010.4898
1997,4135,5807.194,4025,5652.71
1998,3825,5307.57,5069,7033.7444
1999,3587,4870.7873,5171,7021.7009
2000,3537,4653.6309,6043,7950.7751
2001,3682,4814.5832,10289,13453.8964
2002,2969,3717.7818,8836,11064.4392
2003,4313,5317.0664,11651,14363.3528
2004,5083,6117.8988,9809,11806.1124
2005,4887,5767.1487,10498,12388.6898
2006,4293,4996.6227,10223,11898.5497
2007,3638,4132.0404,10813,12281.4054
2008,3782,4212.7698,11459,12764.1801
2009,4484,4947.1972,11325,12494.8725
